iter	RMSE
0	14.58388192
1	14.20518338
2	13.83629338
3	13.42990577
4	13.02007367
5	12.6713895
6	12.35374016
7	12.03284031
8	11.71096302
9	11.42905811
10	11.16371711
11	10.9102353
12	10.66228728
13	10.36903936
14	10.11206105
15	9.856374012
16	9.639678787
17	9.417229887
18	9.240573878
19	9.079764884
20	8.881726595
21	8.699738561
22	8.549628804
23	8.371222215
24	8.20478218
25	8.061202757
26	7.908353235
27	7.771139303
28	7.660786495
29	7.534890371
30	7.398420889
31	7.283774199
32	7.153180903
33	7.041253236
34	6.942683114
35	6.84424034
36	6.742962773
37	6.644480178
38	6.556797925
39	6.474835661
40	6.389860422
41	6.309192788
42	6.240884113
43	6.170586269
44	6.101264988
45	6.036048585
46	5.972064293
47	5.915048499
48	5.849716969
49	5.80305045
50	5.751381458
51	5.697105389
52	5.64747406
53	5.600694754
54	5.546679263
55	5.502224332
56	5.452838737
57	5.41231071
58	5.370033218
59	5.329646465
60	5.291451314
61	5.254160462
62	5.21788906
63	5.181815801
64	5.154855316
65	5.134529519
66	5.095470779
67	5.061173373
68	5.030518396
69	4.997906159
70	4.965907359
71	4.933936058
72	4.905738789
73	4.878491699
74	4.866005805
75	4.838391446
76	4.809613488
77	4.78402048
