iter	Passed	Remaining
0	6	679
1	8	434
2	14	468
3	15	366
4	21	399
5	26	420
6	32	431
7	38	437
8	41	418
9	44	403
10	50	410
11	51	378
12	56	381
13	62	385
14	68	388
15	69	364
16	72	355
17	78	358
18	84	361
19	90	362
20	96	361
21	101	360
22	104	351
23	108	343
24	114	342
25	120	342
26	123	332
27	128	330
28	134	328
29	139	326
30	143	318
31	148	316
32	150	306
33	156	303
34	161	300
35	162	289
36	166	283
37	168	274
38	173	271
39	175	262
40	177	254
41	183	252
42	184	244
43	190	242
44	191	234
45	197	231
46	198	224
47	204	221
48	209	218
49	211	211
50	216	208
51	222	205
52	228	202
53	233	199
54	239	195
55	245	192
56	250	188
57	253	183
58	259	180
59	264	176
60	270	172
61	276	169
62	281	165
63	287	161
64	293	158
65	294	151
66	300	147
67	305	143
68	311	139
69	316	135
70	321	131
71	328	127
72	334	123
73	339	119
74	340	113
75	346	109
76	351	105
77	357	100
